Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
WRPu_CEN_EB>RUGu_CEN_EB@CEN,Central,EB,1,762,WRPu,West Ruislip,692,RUGu,Ruislip Gardens,677,96,195,198,146,33,9,3,6,8,10,14,15,19,21,24,20,23,18,19,18,17,14,14,10,9,9,8,6,7,6,6,5,6,5,6,7,9,9,9,8,7,7,7,7,8,10,10,13,16,16,15,15,14,14,15,14,15,12,10,9,7,6,5,5,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUGu_CEN_EB>SRPu_CEN_EB@CEN,Central,EB,2,692,RUGu,Ruislip Gardens,710,SRPu,South Ruislip,1 215,218,381,342,201,55,17,5,8,16,23,33,38,48,47,48,46,48,39,36,34,28,23,22,22,19,15,13,12,13,11,12,12,13,10,11,12,15,14,15,15,15,11,11,12,15,15,18,20,24,22,21,20,21,19,20,21,19,16,14,12,10,9,8,6,6,5,5,4,5,4,4,3,3,2,2,2,3,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPu_CEN_EB>NHTu_CEN_EB@CEN,Central,EB,3,710,SRPu,South Ruislip,657,NHTu,Northolt,2 043,379,705,530,313,89,27,8,14,28,42,50,67,80,89,94,104,89,85,66,56,43,42,34,35,32,26,24,22,24,20,21,20,21,17,17,17,21,20,21,22,24,19,19,19,24,23,26,28,30,30,30,31,31,35,31,32,30,25,20,17,17,14,14,11,11,7,7,7,7,6,5,5,5,4,4,4,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHTu_CEN_EB>GFDu_CEN_EB@CEN,Central,EB,4,657,NHTu,Northolt,589,GFDu,Greenford,5 290,1 155,1 817,1 298,750,212,57,32,53,92,119,180,204,235,238,250,228,224,207,177,166,150,107,85,92,72,60,58,58,49,49,47,48,45,43,42,45,46,47,48,52,52,53,53,57,59,63,68,68,74,73,72,70,72,66,69,72,62,66,62,54,43,41,32,26,22,19,19,16,15,15,15,12,11,10,11,9,8,8,7,4,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFDu_CEN_EB>PERu_CEN_EB@CEN,Central,EB,5,589,GFDu,Greenford,673,PERu,Perivale,7 646,1 772,2 622,1 742,1 112,305,93,27,78,121,185,285,323,350,402,393,347,345,300,237,204,178,147,132,124,114,101,80,78,67,66,63,64,61,59,58,62,64,63,63,65,67,68,69,74,77,82,86,92,102,113,107,110,114,110,99,104,98,87,84,77,66,57,49,37,31,27,23,23,20,20,19,21,18,17,16,17,13,12,10,8,6,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERu_CEN_EB>HLNu_CEN_EB@CEN,Central,EB,6,673,PERu,Perivale,595,HLNu,Hanger Lane,8 613,1 951,3 040,1 922,1 237,345,118,30,86,136,209,280,368,402,440,432,444,376,330,295,256,206,183,160,132,121,106,94,87,78,77,72,71,69,68,67,68,70,72,71,71,73,75,76,76,79,84,96,101,106,122,124,121,119,130,118,117,109,103,86,84,67,61,53,45,33,34,27,24,22,23,20,20,21,23,20,21,19,16,13,10,7,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLNu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,7,595,HLNu,Hanger Lane,653,NACu,North Acton,9 779,2 068,3 427,2 177,1 560,416,131,34,72,126,199,307,360,465,506,501,467,433,361,297,286,250,225,178,175,136,119,106,100,90,88,81,80,78,76,75,77,78,80,80,80,82,85,87,89,92,98,104,110,125,136,144,147,155,149,151,146,140,133,123,105,91,78,62,52,46,37,35,29,28,27,28,25,25,23,24,20,20,17,16,11,10,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBYu_CEN_EB>WACu_CEN_EB@CEN,Central,EB,8,560,EBYu,Ealing Broadway,753,WACu,West Acton,5 969,808,1 564,1 648,1 471,399,80,10,27,53,85,124,146,176,188,192,181,194,173,158,137,118,102,85,80,73,70,58,57,50,51,50,51,55,59,63,65,68,66,67,67,67,67,72,68,69,77,80,91,112,117,124,145,151,142,158,149,137,117,108,87,83,69,64,56,46,40,35,31,28,26,21,18,16,16,14,14,12,11,8,7,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WACu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,9,753,WACu,West Acton,653,NACu,North Acton,6 513,846,1 720,1 827,1 585,435,100,12,30,45,91,130,154,172,212,207,204,201,197,173,152,132,118,103,85,78,71,68,58,54,53,58,50,56,61,70,64,70,69,79,67,73,72,82,68,74,84,107,114,130,146,151,138,151,161,168,150,162,134,115,93,93,69,68,58,47,43,42,31,31,28,28,20,19,18,19,15,15,14,12,9,5,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NACu_CEN_EB>EACu_CEN_EB@CEN,Central,EB,10,653,NACu,North Acton,563,EACu,East Acton,17 469,2 751,5 340,4 423,3 664,1 031,260,41,89,145,272,392,504,611,695,692,672,645,582,507,457,410,343,299,275,237,220,196,173,161,158,151,141,147,151,157,155,164,169,178,172,184,186,193,180,190,203,226,231,260,297,319,320,347,369,354,348,347,318,284,256,219,184,161,132,111,99,91,79,74,70,63,53,50,49,43,38,38,34,28,24,20,13,9,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
