Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
WRPu_CEN_EB>RUGu_CEN_EB@CEN,Central,EB,1,762,WRPu,West Ruislip,692,RUGu,Ruislip Gardens,1 570,172,586,416,318,64,14,3,7,12,14,24,26,40,45,58,54,70,59,63,56,52,41,41,31,30,30,24,21,21,18,18,18,18,17,17,17,17,17,16,16,16,14,14,15,15,15,15,18,19,20,22,23,24,24,26,33,37,35,32,29,19,14,12,10,7,6,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUGu_CEN_EB>SRPu_CEN_EB@CEN,Central,EB,2,692,RUGu,Ruislip Gardens,710,SRPu,South Ruislip,2 682,352,1 033,696,467,109,25,7,12,24,33,49,59,83,86,97,108,126,112,105,103,85,65,62,66,56,47,41,36,32,27,29,29,31,25,26,27,30,25,26,26,28,22,21,23,28,26,31,33,37,35,35,36,40,38,41,50,51,45,44,39,29,21,20,15,12,9,9,8,8,6,6,6,6,5,5,4,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRPu_CEN_EB>NHTu_CEN_EB@CEN,Central,EB,3,710,SRPu,South Ruislip,657,NHTu,Northolt,4 496,608,1 767,1 118,755,200,48,15,24,44,64,73,106,130,153,170,208,192,208,177,169,136,132,100,103,94,77,68,61,61,47,48,48,51,41,42,42,46,38,39,40,44,36,36,39,46,41,45,51,52,55,57,59,61,72,70,81,84,75,64,54,45,34,33,27,25,16,15,14,14,11,12,12,12,10,10,8,7,5,5,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NHTu_CEN_EB>GFDu_CEN_EB@CEN,Central,EB,4,657,NHTu,Northolt,589,GFDu,Greenford,10 117,1 662,3 914,2 597,1 450,403,92,45,75,127,166,250,293,346,360,392,393,429,433,396,398,367,272,224,245,197,169,162,154,127,123,115,118,110,105,101,105,101,99,96,101,96,91,86,90,87,89,100,105,116,119,125,125,130,123,131,146,132,135,129,112,83,78,63,52,44,37,36,28,26,25,26,23,21,20,21,16,13,12,10,6,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFDu_CEN_EB>PERu_CEN_EB@CEN,Central,EB,5,589,GFDu,Greenford,673,PERu,Perivale,14 165,2 341,5 393,3 541,2 197,562,131,35,103,154,237,369,420,466,556,572,555,621,591,523,482,437,371,335,328,306,273,218,207,173,165,154,157,148,143,138,143,138,136,132,135,130,126,120,125,125,126,128,142,159,174,177,190,203,206,198,210,214,193,184,168,143,112,95,72,60,52,46,45,36,34,31,33,30,29,27,26,20,16,13,11,7,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERu_CEN_EB>HLNu_CEN_EB@CEN,Central,EB,6,673,PERu,Perivale,595,HLNu,Hanger Lane,16 065,2 521,6 124,4 048,2 550,657,165,39,109,168,261,349,470,528,597,613,699,660,636,632,588,497,447,404,341,320,288,255,232,207,199,181,175,169,166,161,160,157,157,153,149,146,144,138,135,138,142,153,163,172,192,207,213,218,255,244,248,251,239,198,194,154,127,110,91,65,67,52,46,42,43,35,35,35,36,32,31,27,23,17,13,9,6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLNu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,7,595,HLNu,Hanger Lane,653,NACu,North Acton,18 593,2 730,7 037,4 652,3 184,792,199,45,91,161,255,390,467,621,698,725,737,743,725,658,673,619,572,454,446,362,325,290,268,239,229,209,202,196,192,187,186,183,183,177,173,170,168,162,159,162,166,169,175,197,209,228,245,272,276,301,311,316,312,292,248,211,171,134,110,93,75,69,54,49,46,46,40,39,38,39,32,32,26,23,16,14,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EBYu_CEN_EB>WACu_CEN_EB@CEN,Central,EB,8,560,EBYu,Ealing Broadway,753,WACu,West Acton,14 548,1 228,5 406,4 057,2 856,834,167,8,29,63,97,169,221,291,349,419,446,553,573,566,537,496,436,377,364,333,305,238,222,182,169,165,157,155,154,161,161,168,165,168,159,161,152,155,148,153,153,159,167,193,192,213,243,265,252,287,275,275,245,241,207,198,156,139,116,96,77,68,62,57,52,46,42,40,38,32,32,27,22,15,14,7,5,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WACu_CEN_EB>NACu_CEN_EB@CEN,Central,EB,9,753,WACu,West Acton,653,NACu,North Acton,15 671,1 273,5 830,4 407,3 095,879,188,9,32,51,105,171,237,276,392,451,498,548,624,609,581,538,502,441,381,347,309,278,229,194,179,194,159,165,168,186,162,176,170,193,159,170,158,177,147,159,158,193,189,213,231,255,233,269,285,306,272,323,280,259,226,227,160,149,121,97,85,81,61,60,53,53,40,41,37,36,32,30,25,20,16,9,6,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NACu_CEN_EB>EACu_CEN_EB@CEN,Central,EB,10,653,NACu,North Acton,563,EACu,East Acton,37 539,3 716,13 640,10 298,7 493,1 949,442,50,106,177,330,504,668,850,1 031,1 149,1 176,1 339,1 394,1 365,1 326,1 303,1 127,1 008,918,802,733,645,552,496,471,451,407,411,416,422,402,419,422,430,394,402,387,386,353,368,372,397,392,426,479,532,545,605,688,708,719,758,728,662,598,523,426,360,283,227,187,162,136,124,114,101,87,85,84,76,70,70,60,48,40,31,18,13,7,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EACu_CEN_EB>WCTu_CEN_EB@CEN,Central,EB,11,563,EACu,East Acton,764,WCTu,White City,39 005,3 600,14 066,10 888,7 915,2 072,463,51,88,185,306,483,629,853,1 004,1 144,1 239,1 356,1 464,1 448,1 376,1 341,1 177,1 004,912,845,760,700,596,538,531,458,445,422,454,418,423,419,468,426,425,406,432,381,383,372,415,394,418,456,508,520,596,640,707,770,803,777,790,698,615,531,469,363,309,242,211,166,146,131,127,102,94,88,92,79,76,71,66,49,40,31,22,13,8,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WCTu_CEN_EB>SBCu_CEN_EB@CEN,Central,EB,12,764,WCTu,White City,700,SBCu,Shepherds Bush,44 174,3 402,14 288,11 857,10 821,3 057,748,9,68,194,284,451,650,809,938,1 076,1 204,1 300,1 457,1 437,1 462,1 360,1 286,1 056,977,867,804,674,623,555,521,479,461,446,471,452,455,457,497,470,464,449,471,432,429,429,473,471,504,551,623,671,755,818,960,1 014,1 086,1 099,1 122,1 000,898,757,642,501,398,341,294,248,224,210,199,176,161,155,150,130,117,111,97,80,65,54,39,25,14,9,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SBCu_CEN_EB>HPKu_CEN_EB@CEN,Central,EB,13,700,SBCu,Shepherds Bush,608,HPKu,Holland Park,53 264,3 356,16 129,14 222,13 567,4 544,1 447,14,77,187,304,444,613,787,931,1 080,1 248,1 377,1 537,1 631,1 652,1 588,1 542,1 333,1 159,1 050,932,785,706,649,578,558,538,538,532,534,541,558,565,565,560,558,554,539,535,552,568,594,632,700,784,844,937,1 032,1 162,1 236,1 335,1 359,1 388,1 251,1 146,1 014,864,688,593,497,409,366,330,314,293,278,260,262,253,239,229,217,189,166,134,103,74,49,25,14,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
