date,quarterhour,from_station,to_station,direction,link_load
02/04/2019,0000,West Ruislip,Ruislip Gardens,EB,0.9339411986141208
02/04/2019,0015,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0030,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0045,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0100,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0115,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0130,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0145,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0200,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0215,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0230,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0245,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0300,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0315,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0330,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0345,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0400,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0415,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0430,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0445,West Ruislip,Ruislip Gardens,EB,0.0
02/04/2019,0500,West Ruislip,Ruislip Gardens,EB,5.603647191684725
02/04/2019,0515,West Ruislip,Ruislip Gardens,EB,11.20729438336945
02/04/2019,0530,West Ruislip,Ruislip Gardens,EB,16.810941575054173
02/04/2019,0545,West Ruislip,Ruislip Gardens,EB,21.480647568124777
02/04/2019,0600,West Ruislip,Ruislip Gardens,EB,34.55582434872247
02/04/2019,0615,West Ruislip,Ruislip Gardens,EB,39.225530341793075
02/04/2019,0630,West Ruislip,Ruislip Gardens,EB,56.03647191684725
02/04/2019,0645,West Ruislip,Ruislip Gardens,EB,69.11164869744493
02/04/2019,0700,West Ruislip,Ruislip Gardens,EB,92.46017866279796
02/04/2019,0715,West Ruislip,Ruislip Gardens,EB,107.4032378406239
02/04/2019,0730,West Ruislip,Ruislip Gardens,EB,127.94994421013455
02/04/2019,0745,West Ruislip,Ruislip Gardens,EB,129.8178266073628
02/04/2019,0800,West Ruislip,Ruislip Gardens,EB,127.01600301152043
02/04/2019,0815,West Ruislip,Ruislip Gardens,EB,105.53535544339566
02/04/2019,0830,West Ruislip,Ruislip Gardens,EB,84.98864907388499
02/04/2019,0845,West Ruislip,Ruislip Gardens,EB,71.9134722932873
02/04/2019,0900,West Ruislip,Ruislip Gardens,EB,56.97041311546137
02/04/2019,0915,West Ruislip,Ruislip Gardens,EB,46.69705993070604
02/04/2019,0930,West Ruislip,Ruislip Gardens,EB,45.76311873209192
02/04/2019,0945,West Ruislip,Ruislip Gardens,EB,41.09341273902131
02/04/2019,1000,West Ruislip,Ruislip Gardens,EB,29.886118355651867
02/04/2019,1015,West Ruislip,Ruislip Gardens,EB,25.216412362581263
02/04/2019,1030,West Ruislip,Ruislip Gardens,EB,24.28247116396714
02/04/2019,1045,West Ruislip,Ruislip Gardens,EB,22.4145887667389
02/04/2019,1100,West Ruislip,Ruislip Gardens,EB,21.480647568124777
02/04/2019,1115,West Ruislip,Ruislip Gardens,EB,21.480647568124777
02/04/2019,1130,West Ruislip,Ruislip Gardens,EB,21.480647568124777
02/04/2019,1145,West Ruislip,Ruislip Gardens,EB,19.612765170896537
02/04/2019,1200,West Ruislip,Ruislip Gardens,EB,19.612765170896537
02/04/2019,1215,West Ruislip,Ruislip Gardens,EB,18.678823972282416
02/04/2019,1230,West Ruislip,Ruislip Gardens,EB,19.612765170896537
02/04/2019,1245,West Ruislip,Ruislip Gardens,EB,17.744882773668294
02/04/2019,1300,West Ruislip,Ruislip Gardens,EB,17.744882773668294
02/04/2019,1315,West Ruislip,Ruislip Gardens,EB,16.810941575054173
02/04/2019,1330,West Ruislip,Ruislip Gardens,EB,16.810941575054173
