date,quarterhour,from_station,to_station,direction,link_load
02/06/2019,0000,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0015,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0030,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0045,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0100,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0115,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0130,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0145,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0200,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0215,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0230,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0245,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0300,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0315,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0330,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0345,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0400,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0415,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0430,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0445,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0500,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0515,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0530,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0545,West Ruislip,Ruislip Gardens,EB,0.0
02/06/2019,0600,West Ruislip,Ruislip Gardens,EB,2.338278000156974
02/06/2019,0615,West Ruislip,Ruislip Gardens,EB,3.117704000209298
02/06/2019,0630,West Ruislip,Ruislip Gardens,EB,5.455982000366272
02/06/2019,0645,West Ruislip,Ruislip Gardens,EB,6.235408000418596
02/06/2019,0700,West Ruislip,Ruislip Gardens,EB,7.794260000523246
02/06/2019,0715,West Ruislip,Ruislip Gardens,EB,7.794260000523246
02/06/2019,0730,West Ruislip,Ruislip Gardens,EB,7.0148340004709215
02/06/2019,0745,West Ruislip,Ruislip Gardens,EB,7.0148340004709215
02/06/2019,0800,West Ruislip,Ruislip Gardens,EB,8.57368600057557
02/06/2019,0815,West Ruislip,Ruislip Gardens,EB,9.353112000627895
02/06/2019,0830,West Ruislip,Ruislip Gardens,EB,10.911964000732544
02/06/2019,0845,West Ruislip,Ruislip Gardens,EB,10.911964000732544
02/06/2019,0900,West Ruislip,Ruislip Gardens,EB,14.029668000941843
02/06/2019,0915,West Ruislip,Ruislip Gardens,EB,12.470816000837193
02/06/2019,0930,West Ruislip,Ruislip Gardens,EB,15.588520001046492
02/06/2019,0945,West Ruislip,Ruislip Gardens,EB,16.36794600109882
02/06/2019,1000,West Ruislip,Ruislip Gardens,EB,17.926798001203466
02/06/2019,1015,West Ruislip,Ruislip Gardens,EB,17.14737200115114
02/06/2019,1030,West Ruislip,Ruislip Gardens,EB,21.823928001465088
02/06/2019,1045,West Ruislip,Ruislip Gardens,EB,21.823928001465088
02/06/2019,1100,West Ruislip,Ruislip Gardens,EB,20.26507600136044
02/06/2019,1115,West Ruislip,Ruislip Gardens,EB,23.38278000156974
02/06/2019,1130,West Ruislip,Ruislip Gardens,EB,27.279910001831357
02/06/2019,1145,West Ruislip,Ruislip Gardens,EB,24.941632001674385
02/06/2019,1200,West Ruislip,Ruislip Gardens,EB,23.38278000156974
02/06/2019,1215,West Ruislip,Ruislip Gardens,EB,27.279910001831357
02/06/2019,1230,West Ruislip,Ruislip Gardens,EB,27.279910001831357
02/06/2019,1245,West Ruislip,Ruislip Gardens,EB,23.38278000156974
02/06/2019,1300,West Ruislip,Ruislip Gardens,EB,22.603354001517413
02/06/2019,1315,West Ruislip,Ruislip Gardens,EB,23.38278000156974
02/06/2019,1330,West Ruislip,Ruislip Gardens,EB,19.485650001308116
02/06/2019,1345,West Ruislip,Ruislip Gardens,EB,17.926798001203466
02/06/2019,1400,West Ruislip,Ruislip Gardens,EB,17.926798001203466
02/06/2019,1415,West Ruislip,Ruislip Gardens,EB,17.14737200115114
02/06/2019,1430,West Ruislip,Ruislip Gardens,EB,16.36794600109882
02/06/2019,1445,West Ruislip,Ruislip Gardens,EB,14.809094000994168
02/06/2019,1500,West Ruislip,Ruislip Gardens,EB,15.588520001046492
02/06/2019,1515,West Ruislip,Ruislip Gardens,EB,14.029668000941843
02/06/2019,1530,West Ruislip,Ruislip Gardens,EB,12.470816000837193
02/06/2019,1545,West Ruislip,Ruislip Gardens,EB,10.911964000732544
02/06/2019,1600,West Ruislip,Ruislip Gardens,EB,14.029668000941843
02/06/2019,1615,West Ruislip,Ruislip Gardens,EB,12.470816000837193
02/06/2019,1630,West Ruislip,Ruislip Gardens,EB,11.69139000078487
02/06/2019,1645,West Ruislip,Ruislip Gardens,EB,12.470816000837193
02/06/2019,1700,West Ruislip,Ruislip Gardens,EB,14.029668000941843
02/06/2019,1715,West Ruislip,Ruislip Gardens,EB,11.69139000078487
02/06/2019,1730,West Ruislip,Ruislip Gardens,EB,10.911964000732544
02/06/2019,1745,West Ruislip,Ruislip Gardens,EB,13.250242000889518
02/06/2019,1800,West Ruislip,Ruislip Gardens,EB,12.470816000837193
02/06/2019,1815,West Ruislip,Ruislip Gardens,EB,11.69139000078487
02/06/2019,1830,West Ruislip,Ruislip Gardens,EB,10.911964000732544
02/06/2019,1845,West Ruislip,Ruislip Gardens,EB,11.69139000078487
02/06/2019,1900,West Ruislip,Ruislip Gardens,EB,9.353112000627895
02/06/2019,1915,West Ruislip,Ruislip Gardens,EB,9.353112000627895
02/06/2019,1930,West Ruislip,Ruislip Gardens,EB,8.57368600057557
02/06/2019,1945,West Ruislip,Ruislip Gardens,EB,7.794260000523246
02/06/2019,2000,West Ruislip,Ruislip Gardens,EB,7.794260000523246
02/06/2019,2015,West Ruislip,Ruislip Gardens,EB,7.0148340004709215
02/06/2019,2030,West Ruislip,Ruislip Gardens,EB,7.0148340004709215
02/06/2019,2045,West Ruislip,Ruislip Gardens,EB,6.235408000418596
02/06/2019,2100,West Ruislip,Ruislip Gardens,EB,5.455982000366272
02/06/2019,2115,West Ruislip,Ruislip Gardens,EB,4.676556000313948
02/06/2019,2130,West Ruislip,Ruislip Gardens,EB,4.676556000313948
02/06/2019,2145,West Ruislip,Ruislip Gardens,EB,3.897130000261623
02/06/2019,2200,West Ruislip,Ruislip Gardens,EB,3.897130000261623
02/06/2019,2215,West Ruislip,Ruislip Gardens,EB,3.117704000209298
02/06/2019,2230,West Ruislip,Ruislip Gardens,EB,3.117704000209298
02/06/2019,2245,West Ruislip,Ruislip Gardens,EB,2.338278000156974
02/06/2019,2300,West Ruislip,Ruislip Gardens,EB,2.338278000156974
02/06/2019,2315,West Ruislip,Ruislip Gardens,EB,0.7794260000523245
02/06/2019,2330,West Ruislip,Ruislip Gardens,EB,0.7794260000523245
02/06/2019,2345,West Ruislip,Ruislip Gardens,EB,0.7794260000523245
02/06/2019,0000,Ruislip Gardens,South Ruislip,EB,0.8242371625400096
02/06/2019,0015,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0030,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0045,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0100,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0115,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0130,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0145,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0200,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0215,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0230,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0245,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0300,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0315,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0330,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0345,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0400,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0415,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0430,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0445,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0500,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0515,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0530,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0545,Ruislip Gardens,South Ruislip,EB,0.0
02/06/2019,0600,Ruislip Gardens,South Ruislip,EB,3.2969486501600382
02/06/2019,0615,Ruislip Gardens,South Ruislip,EB,6.5938973003200765
02/06/2019,0630,Ruislip Gardens,South Ruislip,EB,9.066608787940105
02/06/2019,0645,Ruislip Gardens,South Ruislip,EB,11.539320275560135
02/06/2019,0700,Ruislip Gardens,South Ruislip,EB,14.012031763180163
02/06/2019,0715,Ruislip Gardens,South Ruislip,EB,13.187794600640153
02/06/2019,0730,Ruislip Gardens,South Ruislip,EB,12.363557438100145
02/06/2019,0745,Ruislip Gardens,South Ruislip,EB,13.187794600640153
02/06/2019,0800,Ruislip Gardens,South Ruislip,EB,15.660506088260183
02/06/2019,0815,Ruislip Gardens,South Ruislip,EB,16.484743250800193
02/06/2019,0830,Ruislip Gardens,South Ruislip,EB,20.60592906350024
02/06/2019,0845,Ruislip Gardens,South Ruislip,EB,21.43016622604025
02/06/2019,0900,Ruislip Gardens,South Ruislip,EB,24.72711487620029
02/06/2019,0915,Ruislip Gardens,South Ruislip,EB,23.902877713660278
02/06/2019,0930,Ruislip Gardens,South Ruislip,EB,27.199826363820318
02/06/2019,0945,Ruislip Gardens,South Ruislip,EB,27.199826363820318
02/06/2019,1000,Ruislip Gardens,South Ruislip,EB,28.848300688900338
02/06/2019,1015,Ruislip Gardens,South Ruislip,EB,28.848300688900338
02/06/2019,1030,Ruislip Gardens,South Ruislip,EB,35.44219798922041
02/06/2019,1045,Ruislip Gardens,South Ruislip,EB,34.61796082668041
02/06/2019,1100,Ruislip Gardens,South Ruislip,EB,37.090672314300434
02/06/2019,1115,Ruislip Gardens,South Ruislip,EB,41.21185812700048
02/06/2019,1130,Ruislip Gardens,South Ruislip,EB,42.03609528954049
02/06/2019,1145,Ruislip Gardens,South Ruislip,EB,40.387620964460474
02/06/2019,1200,Ruislip Gardens,South Ruislip,EB,46.15728110224054
02/06/2019,1215,Ruislip Gardens,South Ruislip,EB,42.8603324520805
02/06/2019,1230,Ruislip Gardens,South Ruislip,EB,42.03609528954049
02/06/2019,1245,Ruislip Gardens,South Ruislip,EB,42.03609528954049
02/06/2019,1300,Ruislip Gardens,South Ruislip,EB,43.68456961462051
02/06/2019,1315,Ruislip Gardens,South Ruislip,EB,36.26643515176042
02/06/2019,1330,Ruislip Gardens,South Ruislip,EB,35.44219798922041
02/06/2019,1345,Ruislip Gardens,South Ruislip,EB,36.26643515176042
02/06/2019,1400,Ruislip Gardens,South Ruislip,EB,34.61796082668041
02/06/2019,1415,Ruislip Gardens,South Ruislip,EB,27.199826363820318
02/06/2019,1430,Ruislip Gardens,South Ruislip,EB,30.496775013980358
02/06/2019,1445,Ruislip Gardens,South Ruislip,EB,28.024063526360326
02/06/2019,1500,Ruislip Gardens,South Ruislip,EB,24.72711487620029
02/06/2019,1515,Ruislip Gardens,South Ruislip,EB,23.07864055112027
02/06/2019,1530,Ruislip Gardens,South Ruislip,EB,23.902877713660278
02/06/2019,1545,Ruislip Gardens,South Ruislip,EB,20.60592906350024
02/06/2019,1600,Ruislip Gardens,South Ruislip,EB,23.07864055112027
02/06/2019,1615,Ruislip Gardens,South Ruislip,EB,18.95745473842022
02/06/2019,1630,Ruislip Gardens,South Ruislip,EB,18.95745473842022
02/06/2019,1645,Ruislip Gardens,South Ruislip,EB,19.78169190096023
02/06/2019,1700,Ruislip Gardens,South Ruislip,EB,18.95745473842022
02/06/2019,1715,Ruislip Gardens,South Ruislip,EB,16.484743250800193
02/06/2019,1730,Ruislip Gardens,South Ruislip,EB,19.78169190096023
02/06/2019,1745,Ruislip Gardens,South Ruislip,EB,18.13321757588021
02/06/2019,1800,Ruislip Gardens,South Ruislip,EB,17.308980413340205
02/06/2019,1815,Ruislip Gardens,South Ruislip,EB,18.13321757588021
02/06/2019,1830,Ruislip Gardens,South Ruislip,EB,18.95745473842022
02/06/2019,1845,Ruislip Gardens,South Ruislip,EB,15.660506088260183
02/06/2019,1900,Ruislip Gardens,South Ruislip,EB,14.836268925720173
02/06/2019,1915,Ruislip Gardens,South Ruislip,EB,14.836268925720173
02/06/2019,1930,Ruislip Gardens,South Ruislip,EB,13.187794600640153
02/06/2019,1945,Ruislip Gardens,South Ruislip,EB,9.890845950480115
02/06/2019,2000,Ruislip Gardens,South Ruislip,EB,11.539320275560135
02/06/2019,2015,Ruislip Gardens,South Ruislip,EB,9.890845950480115
02/06/2019,2030,Ruislip Gardens,South Ruislip,EB,8.242371625400096
02/06/2019,2045,Ruislip Gardens,South Ruislip,EB,9.066608787940105
02/06/2019,2100,Ruislip Gardens,South Ruislip,EB,9.066608787940105
02/06/2019,2115,Ruislip Gardens,South Ruislip,EB,7.4181344628600865
02/06/2019,2130,Ruislip Gardens,South Ruislip,EB,8.242371625400096
02/06/2019,2145,Ruislip Gardens,South Ruislip,EB,7.4181344628600865
02/06/2019,2200,Ruislip Gardens,South Ruislip,EB,5.769660137780067
02/06/2019,2215,Ruislip Gardens,South Ruislip,EB,4.945422975240057
02/06/2019,2230,Ruislip Gardens,South Ruislip,EB,4.121185812700048
02/06/2019,2245,Ruislip Gardens,South Ruislip,EB,3.2969486501600382
02/06/2019,2300,Ruislip Gardens,South Ruislip,EB,3.2969486501600382
02/06/2019,2315,Ruislip Gardens,South Ruislip,EB,1.6484743250800191
02/06/2019,2330,Ruislip Gardens,South Ruislip,EB,1.6484743250800191
02/06/2019,2345,Ruislip Gardens,South Ruislip,EB,0.8242371625400096
02/06/2019,0000,South Ruislip,Northolt,EB,0.8819221208821235
02/06/2019,0015,South Ruislip,Northolt,EB,0.0
02/06/2019,0030,South Ruislip,Northolt,EB,0.0
02/06/2019,0045,South Ruislip,Northolt,EB,0.0
02/06/2019,0100,South Ruislip,Northolt,EB,0.0
02/06/2019,0115,South Ruislip,Northolt,EB,0.0
02/06/2019,0130,South Ruislip,Northolt,EB,0.0
02/06/2019,0145,South Ruislip,Northolt,EB,0.0
02/06/2019,0200,South Ruislip,Northolt,EB,0.0
02/06/2019,0215,South Ruislip,Northolt,EB,0.0
02/06/2019,0230,South Ruislip,Northolt,EB,0.0
02/06/2019,0245,South Ruislip,Northolt,EB,0.0
02/06/2019,0300,South Ruislip,Northolt,EB,0.0
02/06/2019,0315,South Ruislip,Northolt,EB,0.0
02/06/2019,0330,South Ruislip,Northolt,EB,0.0
02/06/2019,0345,South Ruislip,Northolt,EB,0.0
02/06/2019,0400,South Ruislip,Northolt,EB,0.0
02/06/2019,0415,South Ruislip,Northolt,EB,0.0
02/06/2019,0430,South Ruislip,Northolt,EB,0.0
02/06/2019,0445,South Ruislip,Northolt,EB,0.0
02/06/2019,0500,South Ruislip,Northolt,EB,0.0
02/06/2019,0515,South Ruislip,Northolt,EB,0.0
02/06/2019,0530,South Ruislip,Northolt,EB,0.0
02/06/2019,0545,South Ruislip,Northolt,EB,0.0
02/06/2019,0600,South Ruislip,Northolt,EB,0.0
02/06/2019,0615,South Ruislip,Northolt,EB,7.055376967056988
02/06/2019,0630,South Ruislip,Northolt,EB,14.110753934113976
02/06/2019,0645,South Ruislip,Northolt,EB,17.638442417642473
02/06/2019,0700,South Ruislip,Northolt,EB,22.04805302205309
02/06/2019,0715,South Ruislip,Northolt,EB,28.221507868227953
02/06/2019,0730,South Ruislip,Northolt,EB,27.339585747345833
02/06/2019,0745,South Ruislip,Northolt,EB,28.221507868227953
02/06/2019,0800,South Ruislip,Northolt,EB,28.221507868227953
02/06/2019,0815,South Ruislip,Northolt,EB,33.5130405935207
02/06/2019,0830,South Ruislip,Northolt,EB,32.631118472638576
02/06/2019,0845,South Ruislip,Northolt,EB,39.68649543969556
02/06/2019,0900,South Ruislip,Northolt,EB,37.04072907704919
02/06/2019,0915,South Ruislip,Northolt,EB,44.09610604410618
02/06/2019,0930,South Ruislip,Northolt,EB,42.33226180234193
02/06/2019,0945,South Ruislip,Northolt,EB,54.679171494691666
02/06/2019,1000,South Ruislip,Northolt,EB,53.79724937380954
02/06/2019,1015,South Ruislip,Northolt,EB,61.73454846174865
02/06/2019,1030,South Ruislip,Northolt,EB,69.67184754968777
02/06/2019,1045,South Ruislip,Northolt,EB,69.67184754968777
02/06/2019,1100,South Ruislip,Northolt,EB,69.67184754968777
02/06/2019,1115,South Ruislip,Northolt,EB,74.08145815409839
02/06/2019,1130,South Ruislip,Northolt,EB,74.08145815409839
02/06/2019,1145,South Ruislip,Northolt,EB,71.43569179145202
02/06/2019,1200,South Ruislip,Northolt,EB,82.0187572420375
02/06/2019,1215,South Ruislip,Northolt,EB,74.96338027498051
02/06/2019,1230,South Ruislip,Northolt,EB,71.43569179145202
02/06/2019,1245,South Ruislip,Northolt,EB,72.31761391233414
02/06/2019,1300,South Ruislip,Northolt,EB,68.78992542880565
02/06/2019,1315,South Ruislip,Northolt,EB,63.498392703512906
02/06/2019,1330,South Ruislip,Northolt,EB,63.498392703512906
02/06/2019,1345,South Ruislip,Northolt,EB,64.38031482439503
02/06/2019,1400,South Ruislip,Northolt,EB,57.32493785733804
02/06/2019,1415,South Ruislip,Northolt,EB,56.443015736455905
02/06/2019,1430,South Ruislip,Northolt,EB,55.56109361557379
02/06/2019,1445,South Ruislip,Northolt,EB,51.15148301116317
02/06/2019,1500,South Ruislip,Northolt,EB,40.568417560577686
02/06/2019,1515,South Ruislip,Northolt,EB,48.505716648516795
02/06/2019,1530,South Ruislip,Northolt,EB,44.9780281649883
02/06/2019,1545,South Ruislip,Northolt,EB,38.80457331881344
02/06/2019,1600,South Ruislip,Northolt,EB,42.33226180234193
02/06/2019,1615,South Ruislip,Northolt,EB,42.33226180234193
02/06/2019,1630,South Ruislip,Northolt,EB,37.922651197931316
02/06/2019,1645,South Ruislip,Northolt,EB,37.922651197931316
02/06/2019,1700,South Ruislip,Northolt,EB,36.15880695616707
02/06/2019,1715,South Ruislip,Northolt,EB,33.5130405935207
02/06/2019,1730,South Ruislip,Northolt,EB,38.80457331881344
02/06/2019,1745,South Ruislip,Northolt,EB,33.5130405935207
02/06/2019,1800,South Ruislip,Northolt,EB,31.749196351756453
02/06/2019,1815,South Ruislip,Northolt,EB,33.5130405935207
02/06/2019,1830,South Ruislip,Northolt,EB,31.749196351756453
02/06/2019,1845,South Ruislip,Northolt,EB,27.339585747345833
02/06/2019,1900,South Ruislip,Northolt,EB,27.339585747345833
02/06/2019,1915,South Ruislip,Northolt,EB,27.339585747345833
02/06/2019,1930,South Ruislip,Northolt,EB,22.929975142935216
02/06/2019,1945,South Ruislip,Northolt,EB,21.166130901170966
02/06/2019,2000,South Ruislip,Northolt,EB,21.166130901170966
02/06/2019,2015,South Ruislip,Northolt,EB,17.638442417642473
02/06/2019,2030,South Ruislip,Northolt,EB,14.992676054996101
02/06/2019,2045,South Ruislip,Northolt,EB,17.638442417642473
02/06/2019,2100,South Ruislip,Northolt,EB,14.992676054996101
02/06/2019,2115,South Ruislip,Northolt,EB,13.228831813231855
02/06/2019,2130,South Ruislip,Northolt,EB,13.228831813231855
02/06/2019,2145,South Ruislip,Northolt,EB,13.228831813231855
02/06/2019,2200,South Ruislip,Northolt,EB,9.70114332970336
02/06/2019,2215,South Ruislip,Northolt,EB,9.70114332970336
02/06/2019,2230,South Ruislip,Northolt,EB,7.937299087939113
02/06/2019,2245,South Ruislip,Northolt,EB,8.819221208821237
02/06/2019,2300,South Ruislip,Northolt,EB,6.173454846174865
02/06/2019,2315,South Ruislip,Northolt,EB,5.2915327252927415
02/06/2019,2330,South Ruislip,Northolt,EB,3.527688483528494
02/06/2019,2345,South Ruislip,Northolt,EB,1.763844241764247
02/06/2019,0000,Northolt,Greenford,EB,0.9399866052556152
02/06/2019,0015,Northolt,Greenford,EB,0.0
02/06/2019,0030,Northolt,Greenford,EB,0.0
02/06/2019,0045,Northolt,Greenford,EB,0.0
02/06/2019,0100,Northolt,Greenford,EB,0.0
02/06/2019,0115,Northolt,Greenford,EB,0.0
02/06/2019,0130,Northolt,Greenford,EB,0.0
02/06/2019,0145,Northolt,Greenford,EB,0.0
02/06/2019,0200,Northolt,Greenford,EB,0.0
02/06/2019,0215,Northolt,Greenford,EB,0.0
02/06/2019,0230,Northolt,Greenford,EB,0.0
02/06/2019,0245,Northolt,Greenford,EB,0.0
02/06/2019,0300,Northolt,Greenford,EB,0.0
02/06/2019,0315,Northolt,Greenford,EB,0.0
02/06/2019,0330,Northolt,Greenford,EB,0.0
02/06/2019,0345,Northolt,Greenford,EB,0.0
02/06/2019,0400,Northolt,Greenford,EB,0.0
02/06/2019,0415,Northolt,Greenford,EB,0.0
02/06/2019,0430,Northolt,Greenford,EB,0.0
02/06/2019,0445,Northolt,Greenford,EB,0.0
02/06/2019,0500,Northolt,Greenford,EB,0.0
02/06/2019,0515,Northolt,Greenford,EB,0.0
02/06/2019,0530,Northolt,Greenford,EB,0.0
02/06/2019,0545,Northolt,Greenford,EB,0.0
02/06/2019,0600,Northolt,Greenford,EB,0.0
02/06/2019,0615,Northolt,Greenford,EB,25.379638341901607
02/06/2019,0630,Northolt,Greenford,EB,47.93931686803637
02/06/2019,0645,Northolt,Greenford,EB,62.979102552126214
02/06/2019,0700,Northolt,Greenford,EB,78.95887484147167
02/06/2019,0715,Northolt,Greenford,EB,93.9986605255615
02/06/2019,0730,Northolt,Greenford,EB,86.4787676835166
02/06/2019,0745,Northolt,Greenford,EB,81.77883465723852
02/06/2019,0800,Northolt,Greenford,EB,79.89886144672728
02/06/2019,0815,Northolt,Greenford,EB,85.53878107826098
02/06/2019,0830,Northolt,Greenford,EB,91.17870070979467
02/06/2019,0845,Northolt,Greenford,EB,101.51855336760643
02/06/2019,0900,Northolt,Greenford,EB,102.45853997286204
02/06/2019,0915,Northolt,Greenford,EB,112.7983926306738
02/06/2019,0930,Northolt,Greenford,EB,114.67836584118503
02/06/2019,0945,Northolt,Greenford,EB,115.61835244644067
02/06/2019,1000,Northolt,Greenford,EB,117.49832565695188
02/06/2019,1015,Northolt,Greenford,EB,133.47809794629734
02/06/2019,1030,Northolt,Greenford,EB,134.41808455155297
02/06/2019,1045,Northolt,Greenford,EB,148.5178836303872
02/06/2019,1100,Northolt,Greenford,EB,162.6176827092214
02/06/2019,1115,Northolt,Greenford,EB,180.4774282090781
02/06/2019,1130,Northolt,Greenford,EB,164.49765591973264
02/06/2019,1145,Northolt,Greenford,EB,170.1375755512663
02/06/2019,1200,Northolt,Greenford,EB,184.23737463010056
02/06/2019,1215,Northolt,Greenford,EB,176.71748178805564
02/06/2019,1230,Northolt,Greenford,EB,147.5778970251316
