vehicleId,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_min,arrival_sec,direction,destinationId,destinationName,timeToStation,timestamp,stationId,stationName,lineName,lineId,expectedArrival
1,2024,11,5,18,8,53,inbound,940GZZLUWRP,West Ruislip Underground Station,1231,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:08:53Z
25,2024,11,5,17,54,53,outbound,940GZZLUEPG,Epping Underground Station,391,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T17:54:53Z
26,2024,11,5,18,1,53,outbound,940GZZLUEPG,Epping Underground Station,811,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:01:53Z
33,2024,11,5,17,51,23,inbound,940GZZLUWRP,West Ruislip Underground Station,181,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T17:51:23Z
34,2024,11,5,18,45,12,outbound,940GZZLUEPG,Epping Underground Station,940,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:45:12Z
35,2024,11,5,18,3,53,inbound,940GZZLUWRP,West Ruislip Underground Station,931,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:03:53Z
61,2024,11,5,17,47,24,inbound,940GZZLUEBY,Ealing Broadway Underground Station,10,2024-11-05T17:47:14.2867289Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T17:47:24Z
62,2024,11,5,18,2,53,inbound,940GZZLUEBY,Ealing Broadway Underground Station,871,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:02:53Z
63,2024,11,5,18,32,42,outbound,940GZZLUHLT,Hainault Underground Station,190,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:32:42Z
2,2024,11,5,18,16,53,inbound,940GZZLUWRP,West Ruislip Underground Station,1711,2024-11-05T17:48:22.1901951Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:16:53Z
5,2024,11,5,18,37,12,inbound,940GZZLUWRP,West Ruislip Underground Station,460,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:37:12Z
6,2024,11,5,18,46,12,inbound,940GZZLUWRP,West Ruislip Underground Station,1000,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:46:12Z
7,2024,11,5,18,49,12,inbound,940GZZLUWRP,West Ruislip Underground Station,1180,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:49:12Z
10,2024,11,5,18,54,12,inbound,940GZZLUWRP,West Ruislip Underground Station,1480,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:54:12Z
33,2024,11,5,18,36,12,outbound,940GZZLUEPG,Epping Underground Station,400,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:36:12Z
65,2024,11,5,18,31,42,inbound,940GZZLUEBY,Ealing Broadway Underground Station,130,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:31:42Z
66,2024,11,5,18,41,12,inbound,940GZZLUEBY,Ealing Broadway Underground Station,700,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:41:12Z
67,2024,11,5,18,47,12,inbound,940GZZLUEBY,Ealing Broadway Underground Station,1060,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:47:12Z
70,2024,11,5,18,56,12,inbound,940GZZLUEBY,Ealing Broadway Underground Station,1600,2024-11-05T18:29:32.3626316Z,940GZZLUNAN,North Acton Underground Station,Central,central,2024-11-05T18:56:12Z
65,2024,11,7,17,34,11,inbound,940GZZLUEBY,Ealing Broadway Underground Station,645,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:34:11Z
66,2024,11,7,17,26,41,unknown,940GZZLUHLT,Hainault Underground Station,206,2024-11-07T17:23:15.6600489Z,940GZZLUHLT,Hainault Underground Station,Central,central,2024-11-07T17:26:41Z
67,2024,11,7,17,24,11,outbound,940GZZLUHLT,Hainault Underground Station,45,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:24:11Z
70,2024,11,7,17,35,11,outbound,940GZZLUHLT,Hainault Underground Station,705,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:35:11Z
110,2024,11,7,17,31,11,inbound,940GZZLUWCY,White City Underground Station,465,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:31:11Z
112,2024,11,7,17,22,44,outbound,940GZZLUHLT,Hainault Underground Station,90,2024-11-07T17:21:14.8137289Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:22:44Z
113,2024,11,7,17,27,11,outbound,940GZZLUHLT,Hainault Underground Station,225,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:27:11Z
114,2024,11,7,17,38,11,outbound,940GZZLUHLT,Hainault Underground Station,885,2024-11-07T17:23:26.1534341Z,940GZZLUWSD,Wanstead Underground Station,Central,central,2024-11-07T17:38:11Z
3,2024,11,7,17,27,11,inbound,940GZZLUWRP,West Ruislip Underground Station,226,2024-11-07T17:23:25.4425635Z,940GZZLUWOF,Woodford Underground Station,Central,central,2024-11-07T17:27:11Z
